,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.495
1,mixed,mem,MSC01,MSC02,0.505
2,motor,mixed,MSC01,MSC02,0.5
3,motor,mem,MSC01,MSC02,0.5
4,mem,mixed,MSC01,MSC02,0.5
5,mem,motor,MSC01,MSC02,0.5
6,mixed,motor,MSC01,MSC03,0.515
7,mixed,mem,MSC01,MSC03,0.51875
8,motor,mixed,MSC01,MSC03,0.625
9,motor,mem,MSC01,MSC03,0.5875
10,mem,mixed,MSC01,MSC03,0.5499999999999999
11,mem,motor,MSC01,MSC03,0.5499999999999999
12,mixed,motor,MSC01,MSC04,0.61
13,mixed,mem,MSC01,MSC04,0.595
14,motor,mixed,MSC01,MSC04,0.82
15,motor,mem,MSC01,MSC04,0.7749999999999999
16,mem,mixed,MSC01,MSC04,0.5399999999999999
17,mem,motor,MSC01,MSC04,0.5399999999999999
18,mixed,motor,MSC01,MSC05,0.5
19,mixed,mem,MSC01,MSC05,0.525
20,motor,mixed,MSC01,MSC05,0.5599999999999999
21,motor,mem,MSC01,MSC05,0.5599999999999999
22,mem,mixed,MSC01,MSC05,0.5
23,mem,motor,MSC01,MSC05,0.49000000000000005
24,mixed,motor,MSC01,MSC06,0.5833333333333333
25,mixed,mem,MSC01,MSC06,0.575
26,motor,mixed,MSC01,MSC06,0.8149999999999998
27,motor,mem,MSC01,MSC06,0.8099999999999999
28,mem,mixed,MSC01,MSC06,0.5
29,mem,motor,MSC01,MSC06,0.5
30,mixed,motor,MSC01,MSC07,0.49444444444444446
31,mixed,mem,MSC01,MSC07,0.5
32,motor,mixed,MSC01,MSC07,0.5
33,motor,mem,MSC01,MSC07,0.5
34,mem,mixed,MSC01,MSC07,0.5
35,mem,motor,MSC01,MSC07,0.5
36,mixed,motor,MSC01,MSC10,0.51
37,mixed,mem,MSC01,MSC10,0.51
38,motor,mixed,MSC01,MSC10,0.5349999999999999
39,motor,mem,MSC01,MSC10,0.5499999999999999
40,mem,mixed,MSC01,MSC10,0.5
41,mem,motor,MSC01,MSC10,0.5
42,mixed,motor,MSC02,MSC01,0.7250000000000001
43,mixed,mem,MSC02,MSC01,0.6099999999999999
44,motor,mixed,MSC02,MSC01,0.5
45,motor,mem,MSC02,MSC01,0.5
46,mem,mixed,MSC02,MSC01,0.7249999999999999
47,mem,motor,MSC02,MSC01,0.9400000000000001
48,mixed,motor,MSC02,MSC03,0.5999999999999999
49,mixed,mem,MSC02,MSC03,0.51875
50,motor,mixed,MSC02,MSC03,0.5
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.8099999999999999
53,mem,motor,MSC02,MSC03,0.8499999999999999
54,mixed,motor,MSC02,MSC04,0.5549999999999999
55,mixed,mem,MSC02,MSC04,0.505
56,motor,mixed,MSC02,MSC04,0.5
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.7699999999999999
59,mem,motor,MSC02,MSC04,0.89
60,mixed,motor,MSC02,MSC05,0.6500000000000001
61,mixed,mem,MSC02,MSC05,0.735
62,motor,mixed,MSC02,MSC05,0.5
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.905
65,mem,motor,MSC02,MSC05,0.7499999999999999
66,mixed,motor,MSC02,MSC06,0.7555555555555556
67,mixed,mem,MSC02,MSC06,0.6199999999999999
68,motor,mixed,MSC02,MSC06,0.5
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.8350000000000002
71,mem,motor,MSC02,MSC06,0.9277777777777778
72,mixed,motor,MSC02,MSC07,0.65
73,mixed,mem,MSC02,MSC07,0.5549999999999999
74,motor,mixed,MSC02,MSC07,0.5
75,motor,mem,MSC02,MSC07,0.5
76,mem,mixed,MSC02,MSC07,0.6250000000000001
77,mem,motor,MSC02,MSC07,0.7444444444444444
78,mixed,motor,MSC02,MSC10,0.785
79,mixed,mem,MSC02,MSC10,0.605
80,motor,mixed,MSC02,MSC10,0.5
81,motor,mem,MSC02,MSC10,0.5
82,mem,mixed,MSC02,MSC10,0.8499999999999999
83,mem,motor,MSC02,MSC10,0.9
84,mixed,motor,MSC03,MSC01,0.8099999999999999
85,mixed,mem,MSC03,MSC01,0.585
86,motor,mixed,MSC03,MSC01,0.53
87,motor,mem,MSC03,MSC01,0.62
88,mem,mixed,MSC03,MSC01,0.6749999999999999
89,mem,motor,MSC03,MSC01,0.7999999999999999
90,mixed,motor,MSC03,MSC02,0.8299999999999998
91,mixed,mem,MSC03,MSC02,0.76
92,motor,mixed,MSC03,MSC02,0.6400000000000001
93,motor,mem,MSC03,MSC02,0.735
94,mem,mixed,MSC03,MSC02,0.5874999999999999
95,mem,motor,MSC03,MSC02,0.49374999999999997
96,mixed,motor,MSC03,MSC04,0.875
97,mixed,mem,MSC03,MSC04,0.6950000000000001
98,motor,mixed,MSC03,MSC04,0.465
99,motor,mem,MSC03,MSC04,0.58
100,mem,mixed,MSC03,MSC04,0.5874999999999999
101,mem,motor,MSC03,MSC04,0.65625
102,mixed,motor,MSC03,MSC05,0.85
103,mixed,mem,MSC03,MSC05,0.9
104,motor,mixed,MSC03,MSC05,0.9299999999999999
105,motor,mem,MSC03,MSC05,0.9549999999999998
106,mem,mixed,MSC03,MSC05,0.9
107,mem,motor,MSC03,MSC05,0.8375
108,mixed,motor,MSC03,MSC06,0.85
109,mixed,mem,MSC03,MSC06,0.685
110,motor,mixed,MSC03,MSC06,0.59
111,motor,mem,MSC03,MSC06,0.6500000000000001
112,mem,mixed,MSC03,MSC06,0.6
113,mem,motor,MSC03,MSC06,0.8402777777777778
114,mixed,motor,MSC03,MSC07,0.8833333333333334
